id	dairy	dairylike	beer	wine	juice	water	softdrink	coffee	energydrink	proteindrink	tea	alcohol	otherdrink
Cyclopia Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Dafang Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Daisajan Estate GFBOP Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Dandelion Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Darjeeling FTGFOP Special Blend Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Darjeeling FTGFOP1 Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Darjeeling Second Flush BOP Blend Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Darjeeling Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Darjeeling-Ceylon Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Devonshire Earl Grey Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Dianhong Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Dikom Estate GTGFOP1 Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Dikom Estate TGFOP1 Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Dimbula BOP Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Dolcetto	0	0	0	1	0	0	0	0	0	0	0	1	0
Dongfang Meiren Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Doomni Estate GTGBOP Cl. Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Doomni Estate TGFOP1 Cl. Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Douro	0	0	0	1	0	0	0	0	0	0	0	1	0
Dragon Phoenix Pearl Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Dão	0	0	0	1	0	0	0	0	0	0	0	1	0
Earl Grey Green Decaffeinated Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Earl Grey Supreme Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Earl Grey Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Earl Grey with Lavender Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
East Frisian BOP Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
East Frisian TGFOP Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
East Frisian Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Eastern Beauty Oolong Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Egyptian Chamomile Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
English Breakfast Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Essiac Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Extra Bergamot English Earl Grey Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
FBOPF Ex. Sp. Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Feng Huang Dan Cong Supreme Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Fermented Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Finest Earl Grey Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Finest Russian Caravan Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
First Grade Gunpowder Green Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Flavored Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Floral Huang Jin Gui Oolong Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Flowering Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Fo Shou Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Formosa GABA Oolong Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Formosa Keemun Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Formosa Lapsang Souchong Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Formosa Oolong Choicest Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Formosa Oolong Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Formosa Pouchong Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Foucha Imperial Organic Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Frances Bissell's Special Blend Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Fuding White Cake Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Fujian Green Needle Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Ganesh Green Assam Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Gaoshan Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Genmaicha Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Gewürztraminer	0	0	0	1	0	0	0	0	0	0	0	1	0
Ghillidary Estate TGFOP Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Golden Monkey Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Golden Nepal Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Goomtee Estate FTGFOP1 First Flush Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Green Extract Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Green Fannings Organic Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Green Honeybush Organic Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Green Ice Cream Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Green Red Ginseng Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Green Rooibos Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Green Tamacha Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Green Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Green Yerba Maté Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Gu Zhang Mao Jian Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Guayakí Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Gugija Cha Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Gunpowder Green Peppermint Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Gunpowder Green Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Gunpowder Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Gynostemma Pentaphyllum Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Gyokuro (lit. Jewel Dew) Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Gyokuro Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Halmari Estate CTC BOP Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Halmari Estate GFOP Cl. Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Halmari Estate GTGFOP1 Cl. Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Halmari Estate TGFBOP1 Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Halmari Estate TGFOP Cl. Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Halmari Estate TGFOP Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Halmari Estate TGFOP1 Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Harishpur Estate TGFBOP Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Harmutty Estate GFBOP Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Harmutty Estate TGFOP Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Hearthside Chai Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Heavy-Baked Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Heirloom Flowers Organic Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Heirloom Yunnan Yellow Buds Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Herbal Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Herbs and Berries Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Heritage Assam Green Spl. Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Hibiscus Flowers Coarse Cut Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Hibiscus Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Hojicha Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Holy Basil Green Leaf Organic Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Holy Basil Purple Leaf Organic Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Holy Basil Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Honey Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Hong Kong-style Milk Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Hong Tao Keemun Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Hua Shan Huang Ya Yellow Buds Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Huang Guanyin Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Huang Jin Gui Oolong Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Huang Meigui Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Huang Shan Mao Feng Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Huang Shan Sunset Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Huang Ya Imperial Yellow Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Huangjin Gui Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Huangshan Maofeng Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Hubei Province Keemun Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Hunan Mao Feng Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Huoshan Huangya Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Hyson Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Iced Blend Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Iced Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Ilex Guayusa Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Ilex Kaushue Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Imperial Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Indonesian Black Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Introduction to Fine Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Introduction to Oolongs Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Irish Breakfast Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Iyerpadi Estate BOP Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Iyerpadi Estate OP Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Jade Cloud Mist Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Jade Oolong Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Jagertee Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Japanese Cherry Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Japanese Green GABA (Gabaron) Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Japanese Matcha Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Japanese Oolong Organic Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Japanese Sencha Special Grade Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Jasmine Fairy Maiden Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Jasmine Imperial Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Jasmine Oolong Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Jasmine Silver Needles Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Jasmine Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Java Blend Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Java Dewata Estate Silver Tips Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Java Malabar Estate OPS Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Jin Fo Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
